name,rating,url,price,lat,long,category
Mondays Wholefoods,4.5,https://www.yelp.com/biz/mondays-wholefoods-kingsland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$$,-36.872086,174.74364,Cafes
Crave Cafe,4.5,https://www.yelp.com/biz/crave-cafe-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8753699,174.7362599,Cafes
Portland Public House,4.0,https://www.yelp.com/biz/portland-public-house-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8717918,174.7449646,Gastropubs
The Fridge,4.0,https://www.yelp.com/biz/the-fridge-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.872261,174.7434082,Coffee & Tea
Canton Cafe,4.0,https://www.yelp.com/biz/canton-cafe-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8719215,174.7445831,Chinese
Taiko,4.5,https://www.yelp.com/biz/taiko-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$$,-36.8721704,174.7447245,Japanese
Phil's Kitchen,4.5,https://www.yelp.com/biz/phils-kitchen-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$$,-36.8720894,174.7440491,Modern European
Jaan Turkish Cafe,3.5,https://www.yelp.com/biz/jaan-turkish-cafe-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,null,-36.8722416,174.7435993,Turkish
Neighbourhood Brewbar,3.5,https://www.yelp.com/biz/neighbourhood-brewbar-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8726196,174.7433167,Hookah Bars
Grill and Shakes,4.0,https://www.yelp.com/biz/grill-and-shakes-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8718825,174.7447082,Barbeque
Petra Shawarma,3.5,https://www.yelp.com/biz/petra-shawarma-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8724789940839,174.743784964085,Middle Eastern
Papa's Italian Eatery,4.0,https://www.yelp.com/biz/papas-italian-eatery-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8747482,174.7416077,Italian
Barcelona Bar Tapas & Wines,5.0,https://www.yelp.com/biz/barcelona-bar-tapas-and-wines-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,null,-36.8726115,174.7432796,Tapas/Small Plates
Nectar Bar,4.0,https://www.yelp.com/biz/nectar-bar-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,null,-36.8722633,174.7444232,Lounges
Loop,3.5,https://www.yelp.com/biz/loop-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$$,-36.8722119,174.7445913,Bistros
Mekong Neua Thai Restaurant,3.5,https://www.yelp.com/biz/mekong-neua-thai-restaurant-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$$,-36.8721428,174.7438812,Thai
Flight 605,4.0,https://www.yelp.com/biz/flight-605-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8736305,174.7367859,Wine Bars
Venosa,5.0,https://www.yelp.com/biz/venosa-kingsland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8724599,174.74379,Italian
The Kingslander,3.0,https://www.yelp.com/biz/the-kingslander-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8724251,174.7438965,Bars
Tiffin Indian Cuisine,4.5,https://www.yelp.com/biz/tiffin-indian-cuisine-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.8738715,174.7368143,Indian
Farang,4.0,https://www.yelp.com/biz/farang-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,$$,-36.87218,174.74368,Thai
Toro Bar,4.5,https://www.yelp.com/biz/toro-bar-auckland?adjust_creative=lOuY39hPFUaIixCmg1l3lg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lOuY39hPFUaIixCmg1l3lg,null,-36.8724527,174.7437957,Bars
